,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,107.0,34.5,12.5,4.5,,,,,,,,,,,,,,
2,87.5,23.0,4.5,1.5,,,,,,,,,,,,,,
3,166.0,45.0,8.0,3.5,,,,,,,,,,,,,,
4,151.5,45.0,9.0,2.0,,,,,,,,,,,,,,
5,118.5,44.0,10.5,4.0,,,,,,,,,,,,,,
6,339.5,102.0,23.5,10.0,,,,,,,,,,,,,,
7,728.5,125.5,26.0,8.0,,,,,,,,,,,,,,
8,56.5,35.5,35.5,21.5,,,,,,,,,,,,,,
9,212.0,60.0,15.5,6.5,,,,,,,,,,,,,,
10,84.0,58.0,7.5,2.0,,,,,,,,,,,,,,
11,28.5,10.0,2.5,1.0,,,,,,,,,,,,,,
12,80.0,12.5,6.5,2.5,,,,,,,,,,,,,,
